test_day,gain_value,loss_value_scams,total_loss,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg,bank_A_gain,bank_B_gain,bank_C_gain,bank_D_gain,bank_E_gain,bank_A_loss_scams,bank_B_loss_scams,bank_C_loss_scams,bank_D_loss_scams,bank_E_loss_scams,bank_A_loss_scams_ext,bank_B_loss_scams_ext,bank_C_loss_scams_ext,bank_D_loss_scams_ext,bank_E_loss_scams_ext
0.0,11756.000000000002,812.6999999999999,1412.6999999999998,2.0,2.0,5.0,0.0,4.0,2.0,1.0,1.0,88.0,21.0,17.0,0.0,693.0,250.0,664.0,13.0,0.0,10359.65,255.4,0.0,1140.95,289.75,85.30000000000001,91.5,207.35,138.8,339.75,185.3,241.5,207.35,438.8
1.0,6231.050000000001,565.35,1115.35,5.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,85.0,19.0,17.0,1.0,659.0,249.0,165.0,18.0,2800.0,2628.15,0.0,41.55,761.35,431.3,40.4,47.45,0.0,46.2,431.3,190.4,297.45,0.0,196.2
2.0,1668.7,728.35,728.35,3.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,67.0,12.0,15.0,2.0,698.0,261.0,139.0,9.0,0.0,0.0,0.0,1634.95,33.75,191.1,262.34999999999997,102.2,83.85,88.85,191.1,262.34999999999997,102.2,83.85,88.85
3.0,2998.8499999999995,522.3,522.3,2.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,46.0,7.0,16.0,1.0,541.0,185.0,140.0,11.0,1283.85,55.2,1600.0,59.8,0.0,0.0,51.6,0.0,133.65,337.05,0.0,51.6,0.0,133.65,337.05
4.0,353.54999999999995,249.55,249.55,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,66.0,6.0,12.0,3.0,345.0,120.0,152.0,13.0,314.54999999999995,0.0,0.0,0.0,39.0,0.0,0.0,0.0,249.55,0.0,0.0,0.0,0.0,249.55,0.0
5.0,796.6,244.0,544.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,67.0,4.0,25.0,4.0,336.0,121.0,155.0,10.0,71.1,46.85,0.0,644.45,34.2,60.25,0.0,0.0,96.8,86.95,60.25,0.0,300.0,96.8,86.95
6.0,1766.85,380.5,380.5,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,64.0,5.0,16.0,2.0,349.0,140.0,154.0,13.0,0.0,47.7,0.0,119.15,1600.0,331.45,0.0,11.25,0.0,37.8,331.45,0.0,11.25,0.0,37.8
7.0,2631.1,253.0,253.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,58.0,3.0,12.0,1.0,368.0,139.0,164.0,12.0,0.0,1562.5,574.7,43.65,450.25,51.75,201.25,0.0,0.0,0.0,51.75,201.25,0.0,0.0,0.0
8.0,7955.8,347.3,347.3,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,47.0,2.0,13.0,1.0,315.0,143.0,156.0,6.0,7500.0,455.8,0.0,0.0,0.0,19.1,0.0,191.95,0.0,136.25,19.1,0.0,191.95,0.0,136.25
9.0,3051.4,428.24999999999994,428.24999999999994,3.0,1.0,2.0,0.0,5.0,2.0,0.0,0.0,65.0,5.0,20.0,2.0,365.0,133.0,155.0,10.0,1600.0,88.8,70.4,0.0,1292.2,139.0,0.0,3.05,128.1,158.1,139.0,0.0,3.05,128.1,158.1
10.0,8605.15,77.45,77.45,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,52.0,4.0,11.0,0.0,302.0,151.0,167.0,12.0,0.0,0.0,24.5,8580.65,0.0,0.0,0.0,0.0,0.0,77.45,0.0,0.0,0.0,0.0,77.45
11.0,1570.75,836.2,836.2,2.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,61.0,1.0,4.0,0.0,348.0,133.0,156.0,10.0,1500.0,0.0,32.5,0.0,38.25,100.4,39.1,0.0,472.15,224.55,100.4,39.1,0.0,472.15,224.55
12.0,47.0,295.6,295.6,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,64.0,6.0,17.0,2.0,348.0,144.0,153.0,14.0,47.0,0.0,0.0,0.0,0.0,28.0,0.0,121.15,0.0,146.45,28.0,0.0,121.15,0.0,146.45
13.0,7696.15,288.7,288.7,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,63.0,2.0,20.0,4.0,378.0,146.0,166.0,4.0,0.0,66.8,129.35,0.0,7500.0,191.1,50.4,47.2,0.0,0.0,191.1,50.4,47.2,0.0,0.0
14.0,0.0,374.3,374.3,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,62.0,4.0,19.0,1.0,338.0,143.0,153.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,94.05,50.25,174.05,55.95,0.0,94.05,50.25,174.05,55.95
