test_day,gain_value,loss_value_scams,total_loss,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg,bank_A_gain,bank_B_gain,bank_C_gain,bank_D_gain,bank_E_gain,bank_A_loss_scams,bank_B_loss_scams,bank_C_loss_scams,bank_D_loss_scams,bank_E_loss_scams,bank_A_loss_scams_ext,bank_B_loss_scams_ext,bank_C_loss_scams_ext,bank_D_loss_scams_ext,bank_E_loss_scams_ext
305.0,11900.900000000001,667.8000000000001,38937.8,2.0,1.0,6.0,0.0,4.0,3.0,0.0,1.0,182.0,129.0,302.0,1.0,599.0,142.0,379.0,12.0,51.6,10270.05,255.4,207.35,1116.5,238.15,174.9,91.5,0.0,163.25,7358.15,8504.9,7341.5,7600.0,8133.25
306.0,6181.35,615.05,3605.05,3.0,1.0,2.0,2.0,5.0,0.0,1.0,0.0,101.0,56.0,18.0,1.0,643.0,212.0,164.0,18.0,2881.75,2628.15,0.0,0.0,671.45,349.55,40.4,47.45,41.55,136.1,1019.55,350.4,747.45,581.55,906.1
307.0,1611.4,785.65,1385.65,2.0,0.0,0.0,1.0,5.0,2.0,1.0,1.0,56.0,45.0,16.0,1.0,709.0,228.0,138.0,10.0,0.0,0.0,0.0,1577.65,33.75,191.1,262.34999999999997,102.2,141.15,88.85,241.1,412.34999999999997,302.2,341.15,88.85
308.0,2943.6499999999996,577.5,1527.5,1.0,0.0,2.0,0.0,5.0,2.0,1.0,0.0,53.0,49.0,18.0,1.0,534.0,143.0,138.0,11.0,1283.85,0.0,1600.0,59.8,0.0,0.0,106.80000000000001,0.0,133.65,337.05,400.0,106.80000000000001,300.0,183.65,537.05
309.0,202.1,401.0,401.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,62.0,24.0,13.0,3.0,349.0,102.0,151.0,13.0,163.1,0.0,0.0,0.0,39.0,151.45,0.0,0.0,249.55,0.0,151.45,0.0,0.0,249.55,0.0
310.0,637.4000000000001,403.2,403.2,2.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,58.0,17.0,13.0,2.0,345.0,108.0,167.0,12.0,28.5,0.0,0.0,574.7,34.2,102.85,46.85,0.0,166.55,86.95,102.85,46.85,0.0,166.55,86.95
311.0,1766.85,380.5,380.5,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,67.0,16.0,14.0,1.0,346.0,129.0,156.0,14.0,0.0,47.7,0.0,119.15,1600.0,331.45,0.0,11.25,0.0,37.8,331.45,0.0,11.25,0.0,37.8
312.0,2820.9500000000003,63.15,1613.15,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,88.0,36.0,18.0,1.0,338.0,106.0,158.0,12.0,51.75,1700.6,574.7,43.65,450.25,0.0,63.15,0.0,0.0,0.0,200.0,463.15,350.0,250.0,350.0
313.0,7974.900000000001,328.2,328.2,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,50.0,15.0,10.0,1.0,312.0,130.0,159.0,6.0,7519.1,455.8,0.0,0.0,0.0,0.0,0.0,191.95,0.0,136.25,0.0,0.0,191.95,0.0,136.25
314.0,3157.7000000000003,321.95,1371.9500000000003,5.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,55.0,31.0,26.0,1.0,375.0,107.0,149.0,11.0,1600.0,88.8,70.4,63.8,1334.7,139.0,0.0,3.05,64.3,115.6,339.0,100.0,353.05,264.3,215.6
315.0,8580.65,101.95,101.95,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,65.0,22.0,10.0,0.0,289.0,133.0,168.0,12.0,0.0,0.0,0.0,8580.65,0.0,0.0,0.0,24.5,0.0,77.45,0.0,0.0,24.5,0.0,77.45
316.0,1795.3,611.65,611.65,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,62.0,16.0,7.0,0.0,347.0,118.0,153.0,10.0,1500.0,0.0,32.5,0.0,262.8,100.4,39.1,0.0,472.15,0.0,100.4,39.1,0.0,472.15,0.0
317.0,47.0,295.6,295.6,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,75.0,20.0,9.0,1.0,337.0,130.0,161.0,15.0,47.0,0.0,0.0,0.0,0.0,28.0,0.0,121.15,0.0,146.45,28.0,0.0,121.15,0.0,146.45
318.0,7696.15,288.7,588.7,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,55.0,25.0,22.0,2.0,386.0,123.0,164.0,6.0,0.0,66.8,129.35,0.0,7500.0,191.1,50.4,47.2,0.0,0.0,191.1,50.4,197.2,150.0,0.0
319.0,0.0,374.3,374.3,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,64.0,26.0,15.0,1.0,336.0,121.0,157.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,94.05,50.25,174.05,55.95,0.0,94.05,50.25,174.05,55.95
320.0,992.65,204.00000000000003,204.00000000000003,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,75.0,20.0,13.0,0.0,353.0,118.0,143.0,12.0,0.0,992.65,0.0,0.0,0.0,115.25,63.8,24.95,0.0,0.0,115.25,63.8,24.95,0.0,0.0
321.0,0.0,1055.3,1055.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,53.0,26.0,12.0,2.0,338.0,119.0,155.0,14.0,0.0,0.0,0.0,0.0,0.0,37.9,0.0,1017.4000000000001,0.0,0.0,37.9,0.0,1017.4000000000001,0.0,0.0
322.0,112.1,159.0,159.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,66.0,16.0,11.0,0.0,321.0,126.0,129.0,14.0,0.0,30.35,81.75,0.0,0.0,57.25,0.0,60.4,41.35,0.0,57.25,0.0,60.4,41.35,0.0
323.0,20.4,88.3,88.3,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,64.0,23.0,15.0,0.0,323.0,112.0,154.0,9.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,35.8,52.5,0.0,0.0,0.0,35.8,52.5
324.0,374.95,393.09999999999997,393.09999999999997,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,62.0,19.0,13.0,2.0,288.0,119.0,139.0,15.0,0.0,34.55,44.05,70.85,225.5,0.0,144.8,0.0,200.25,48.05,0.0,144.8,0.0,200.25,48.05
325.0,125.35,272.3,272.3,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,62.0,21.0,16.0,0.0,319.0,129.0,153.0,9.0,0.0,75.7,49.65,0.0,0.0,0.0,0.0,45.15,227.14999999999998,0.0,0.0,0.0,45.15,227.14999999999998,0.0
326.0,3887.0,79.2,79.2,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,67.0,15.0,14.0,2.0,333.0,123.0,148.0,8.0,1021.6,2857.25,8.15,0.0,0.0,0.0,0.0,79.2,0.0,0.0,0.0,0.0,79.2,0.0,0.0
327.0,1065.65,359.20000000000005,359.20000000000005,1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,74.0,14.0,21.0,0.0,354.0,140.0,144.0,12.0,0.0,0.0,0.0,44.05,1021.6,50.849999999999994,278.25,30.1,0.0,0.0,50.849999999999994,278.25,30.1,0.0,0.0
328.0,2029.65,418.0,418.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,70.0,22.0,11.0,1.0,332.0,113.0,159.0,11.0,455.8,39.95,1533.9,0.0,0.0,51.4,149.45,154.0,0.0,63.15,51.4,149.45,154.0,0.0,63.15
329.0,3857.8500000000004,293.1,293.1,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,51.0,27.0,13.0,0.0,331.0,132.0,164.0,13.0,1080.65,0.0,99.3,2677.9,0.0,0.0,226.85,66.25,0.0,0.0,0.0,226.85,66.25,0.0,0.0
330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,22.0,17.0,1.0,303.0,111.0,159.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331.0,1202.6000000000001,671.0,671.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,42.0,8.0,12.0,1.0,309.0,123.0,138.0,16.0,0.0,0.0,1182.2,0.0,20.4,96.80000000000001,0.0,0.0,0.0,574.1999999999999,96.80000000000001,0.0,0.0,0.0,574.1999999999999
332.0,203.5,721.0,721.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,50.0,20.0,14.0,1.0,369.0,122.0,170.0,7.0,0.0,203.5,0.0,0.0,0.0,0.0,28.0,0.0,0.0,693.0,0.0,28.0,0.0,0.0,693.0
333.0,137.95,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,22.0,15.0,0.0,357.0,117.0,157.0,10.0,0.0,0.0,100.85,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334.0,112.65,965.2,965.2,3.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,61.0,22.0,14.0,0.0,354.0,119.0,158.0,14.0,0.0,0.0,0.0,55.05,57.6,239.5,305.70000000000005,159.0,80.65,180.35,239.5,305.70000000000005,159.0,80.65,180.35
335.0,26.45,497.65000000000003,497.65000000000003,2.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,60.0,20.0,8.0,1.0,317.0,118.0,162.0,8.0,0.0,23.9,0.0,0.0,2.55,191.95,119.6,89.65,83.44999999999999,13.0,191.95,119.6,89.65,83.44999999999999,13.0
336.0,68.6,1284.1500000000003,1284.1500000000003,2.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,52.0,14.0,9.0,0.0,663.0,255.0,619.0,11.0,43.0,0.0,0.0,0.0,25.6,65.0,416.74999999999994,41.5,474.5,286.4,65.0,416.74999999999994,41.5,474.5,286.4
337.0,30.75,264.6,264.6,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,68.0,20.0,9.0,0.0,677.0,266.0,164.0,9.0,0.0,0.0,30.75,0.0,0.0,251.35000000000002,0.0,0.0,0.0,13.25,251.35000000000002,0.0,0.0,0.0,13.25
338.0,2177.2999999999997,827.05,827.05,4.0,0.0,3.0,1.0,3.0,0.0,2.0,0.0,48.0,20.0,22.0,0.0,700.0,263.0,156.0,14.0,34.8,455.8,378.20000000000005,1212.05,96.44999999999999,239.5,37.8,66.25,483.5,0.0,239.5,37.8,66.25,483.5,0.0
339.0,98.35,828.25,828.25,2.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,75.0,11.0,13.0,0.0,530.0,197.0,148.0,9.0,50.95,47.4,0.0,0.0,0.0,268.5,38.35,0.0,59.95,461.45,268.5,38.35,0.0,59.95,461.45
340.0,0.0,215.65,215.65,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,51.0,17.0,11.0,0.0,344.0,123.0,152.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,176.15,0.0,39.5,0.0,0.0,176.15,0.0,39.5,0.0
341.0,277.25,133.75,133.75,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,67.0,19.0,14.0,1.0,337.0,139.0,178.0,20.0,0.0,277.25,0.0,0.0,0.0,0.0,50.65,0.0,41.65,41.45,0.0,50.65,0.0,41.65,41.45
342.0,317.40000000000003,193.8,193.8,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,53.0,17.0,18.0,0.0,343.0,132.0,158.0,15.0,0.0,0.0,0.0,317.40000000000003,0.0,100.4,61.05,0.0,0.0,32.35,100.4,61.05,0.0,0.0,32.35
343.0,1001.3,836.2,836.2,2.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,55.0,12.0,11.0,1.0,363.0,118.0,149.0,10.0,0.0,0.0,455.8,545.5,0.0,0.0,309.65000000000003,0.0,44.35,482.20000000000005,0.0,309.65000000000003,0.0,44.35,482.20000000000005
344.0,638.85,168.5,168.5,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,52.0,11.0,7.0,1.0,353.0,130.0,155.0,17.0,604.5,0.0,0.0,0.0,34.35,0.0,94.3,74.2,0.0,0.0,0.0,94.3,74.2,0.0,0.0
345.0,746.15,219.85,219.85,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,47.0,19.0,11.0,0.0,364.0,129.0,160.0,8.0,0.0,0.0,73.8,43.0,629.35,29.9,0.0,0.0,0.0,189.95,29.9,0.0,0.0,0.0,189.95
346.0,156.05,496.99999999999994,496.99999999999994,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,63.0,17.0,17.0,0.0,350.0,108.0,176.0,17.0,0.0,156.05,0.0,0.0,0.0,198.29999999999998,94.6,0.0,0.0,204.1,198.29999999999998,94.6,0.0,0.0,204.1
347.0,76.85,256.0,256.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,49.0,14.0,13.0,1.0,347.0,146.0,168.0,8.0,33.6,43.25,0.0,0.0,0.0,68.2,100.30000000000001,25.4,0.0,62.1,68.2,100.30000000000001,25.4,0.0,62.1
348.0,3952.2,52.2,52.2,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,60.0,8.0,12.0,0.0,372.0,124.0,172.0,10.0,3001.4,0.0,0.0,50.95,899.85,0.0,0.0,0.0,52.2,0.0,0.0,0.0,0.0,52.2,0.0
349.0,884.05,228.39999999999998,228.39999999999998,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,70.0,13.0,18.0,2.0,387.0,122.0,163.0,21.0,841.5,0.0,0.0,42.55,0.0,165.1,63.3,0.0,0.0,0.0,165.1,63.3,0.0,0.0,0.0
350.0,48.65,43.25,43.25,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,74.0,5.0,14.0,1.0,328.0,130.0,168.0,16.0,0.0,28.5,0.0,0.0,20.15,0.0,0.0,14.05,29.2,0.0,0.0,0.0,14.05,29.2,0.0
351.0,5675.15,523.85,523.85,0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,53.0,9.0,12.0,1.0,355.0,131.0,160.0,6.0,0.0,0.0,754.9,420.25,4500.0,0.0,0.0,91.5,227.70000000000002,204.65,0.0,0.0,91.5,227.70000000000002,204.65
352.0,776.8,106.4,106.4,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,56.0,5.0,13.0,0.0,339.0,130.0,175.0,12.0,0.0,45.2,275.8,455.8,0.0,66.25,0.0,0.0,0.0,40.15,66.25,0.0,0.0,0.0,40.15
353.0,4529.1,511.65000000000003,511.65000000000003,1.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,69.0,12.0,13.0,1.0,352.0,129.0,164.0,9.0,0.0,4500.0,0.0,0.0,29.1,0.0,58.45,176.1,0.0,277.1,0.0,58.45,176.1,0.0,277.1
354.0,1345.3000000000002,278.35,278.35,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,58.0,11.0,10.0,1.0,368.0,134.0,139.0,6.0,0.0,80.6,0.0,1264.7,0.0,0.0,210.45,67.9,0.0,0.0,0.0,210.45,67.9,0.0,0.0
355.0,507.9,119.1,119.1,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,59.0,6.0,10.0,2.0,328.0,113.0,152.0,12.0,0.0,507.9,0.0,0.0,0.0,0.0,67.7,0.0,0.0,51.4,0.0,67.7,0.0,0.0,51.4
356.0,901.85,148.7,148.7,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,73.0,17.0,13.0,0.0,372.0,125.0,163.0,15.0,0.0,0.0,284.6,617.25,0.0,0.0,120.7,0.0,0.0,28.0,0.0,120.7,0.0,0.0,28.0
357.0,826.1500000000001,243.55,243.55,3.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,55.0,11.0,16.0,1.0,336.0,144.0,153.0,4.0,318.3,74.55,0.0,0.0,433.3,61.900000000000006,0.0,13.55,0.0,168.1,61.900000000000006,0.0,13.55,0.0,168.1
358.0,5783.650000000001,321.85,321.85,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,56.0,15.0,12.0,1.0,374.0,144.0,177.0,15.0,0.0,1170.65,70.45,4542.55,0.0,0.0,0.0,321.85,0.0,0.0,0.0,0.0,321.85,0.0,0.0
359.0,189.7,446.15000000000003,446.15000000000003,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,67.0,13.0,7.0,1.0,375.0,129.0,150.0,13.0,46.55,29.1,42.85,71.2,0.0,0.0,198.55,42.5,70.45,134.65,0.0,198.55,42.5,70.45,134.65
360.0,1187.9,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,79.0,8.0,10.0,0.0,384.0,146.0,156.0,10.0,0.0,185.10000000000002,0.0,1002.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361.0,1092.3500000000001,127.1,127.1,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,67.0,9.0,18.0,0.0,365.0,140.0,177.0,20.0,0.0,0.0,50.65,1041.7,0.0,46.85,0.0,67.25,0.0,13.0,46.85,0.0,67.25,0.0,13.0
362.0,54.45,38.1,38.1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,4.0,7.0,0.0,359.0,148.0,155.0,17.0,37.75,0.0,0.0,0.0,16.7,0.0,38.1,0.0,0.0,0.0,0.0,38.1,0.0,0.0,0.0
363.0,4500.0,253.9,253.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,58.0,9.0,16.0,0.0,341.0,163.0,148.0,12.0,0.0,0.0,0.0,4500.0,0.0,0.0,138.65,115.25,0.0,0.0,0.0,138.65,115.25,0.0,0.0
