test_day,gain_value,loss_value_scams,total_loss,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg,bank_A_gain,bank_B_gain,bank_C_gain,bank_D_gain,bank_E_gain,bank_A_loss_scams,bank_B_loss_scams,bank_C_loss_scams,bank_D_loss_scams,bank_E_loss_scams,bank_A_loss_scams_ext,bank_B_loss_scams_ext,bank_C_loss_scams_ext,bank_D_loss_scams_ext,bank_E_loss_scams_ext
305.0,4674.299999999999,7894.399999999999,43644.4,2.0,3.0,4.0,1.0,4.0,1.0,2.0,0.0,182.0,105.0,289.0,2.0,599.0,166.0,392.0,11.0,249.35,2903.5,91.5,207.35,1222.6,40.4,7541.45,255.4,0.0,57.150000000000006,7600.4,15621.45,6675.4,6970.0,6777.15
306.0,6221.75,574.65,7914.65,4.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,196.0,98.0,9.0,0.0,548.0,170.0,173.0,19.0,2881.75,2668.55,0.0,0.0,671.45,349.55,0.0,47.45,41.55,136.1,1849.55,1730.0,1557.45,1401.55,1376.1
307.0,1602.2,794.8499999999999,2764.85,0.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,102.0,50.0,17.0,0.0,663.0,223.0,137.0,11.0,0.0,0.0,102.2,1500.0,0.0,191.1,262.34999999999997,0.0,218.8,122.6,291.1,922.3499999999999,360.0,668.8,522.6
308.0,3153.4,367.74999999999994,967.75,0.0,1.0,3.0,0.0,6.0,1.0,0.0,0.0,72.0,41.0,14.0,0.0,515.0,151.0,142.0,12.0,1283.85,0.0,1600.0,93.4,176.15,0.0,106.80000000000001,0.0,100.05,160.89999999999998,200.0,306.8,50.0,150.05,260.9
309.0,280.79999999999995,322.3,572.3,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,50.0,25.0,25.0,1.0,361.0,101.0,139.0,15.0,280.79999999999995,0.0,0.0,0.0,0.0,33.75,0.0,0.0,249.55,39.0,83.75,0.0,0.0,249.55,239.0
310.0,702.0,338.59999999999997,2188.6,3.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,75.0,55.0,19.0,1.0,328.0,70.0,161.0,13.0,42.6,0.0,0.0,625.2,34.2,88.75,46.85,0.0,116.05,86.95,288.75,196.85,350.0,666.05,686.95
311.0,1766.8,380.54999999999995,380.54999999999995,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,68.0,19.0,13.0,0.0,345.0,126.0,157.0,15.0,66.75,47.7,0.0,52.35,1600.0,264.7,0.0,11.25,66.8,37.8,264.7,0.0,11.25,66.8,37.8
312.0,2725.55,158.55,308.55,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,86.0,24.0,12.0,0.0,340.0,118.0,164.0,13.0,0.0,1700.6,574.7,0.0,450.25,51.75,63.15,0.0,43.65,0.0,51.75,63.15,0.0,43.65,150.0
313.0,474.90000000000003,7828.2,7828.2,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,60.0,22.0,5.0,0.0,302.0,123.0,164.0,7.0,19.1,455.8,0.0,0.0,0.0,7500.0,0.0,191.95,0.0,136.25,7500.0,0.0,191.95,0.0,136.25
314.0,3097.8,381.85,481.85,4.0,1.0,2.0,0.0,4.0,2.0,0.0,0.0,60.0,37.0,14.0,0.0,370.0,101.0,161.0,12.0,1600.0,0.0,70.4,92.69999999999999,1334.7,139.0,88.8,3.05,35.4,115.6,139.0,88.8,53.05,35.4,165.6
315.0,1080.65,7601.950000000001,7601.950000000001,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,68.0,42.0,8.0,0.0,286.0,113.0,170.0,12.0,0.0,0.0,0.0,1080.65,0.0,0.0,0.0,24.5,7500.0,77.45,0.0,0.0,24.5,7500.0,77.45
316.0,1762.8,644.15,644.15,3.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,64.0,17.0,7.0,0.0,345.0,117.0,153.0,10.0,1500.0,0.0,0.0,0.0,262.8,100.4,39.1,32.5,472.15,0.0,100.4,39.1,32.5,472.15,0.0
317.0,0.0,342.6,342.6,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,77.0,26.0,2.0,0.0,335.0,124.0,168.0,16.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,121.15,0.0,146.45,75.0,0.0,121.15,0.0,146.45
318.0,179.75,7805.1,7905.1,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,65.0,34.0,17.0,0.0,376.0,114.0,169.0,8.0,0.0,50.4,129.35,0.0,0.0,191.1,66.8,47.2,0.0,7500.0,191.1,66.8,47.2,0.0,7600.0
319.0,55.95,318.35,318.35,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,69.0,27.0,8.0,0.0,331.0,120.0,164.0,9.0,0.0,0.0,0.0,0.0,55.95,0.0,94.05,50.25,174.05,0.0,0.0,94.05,50.25,174.05,0.0
320.0,995.05,201.60000000000002,201.60000000000002,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,84.0,17.0,10.0,0.0,344.0,121.0,146.0,12.0,0.0,992.65,2.4,0.0,0.0,115.25,63.8,22.55,0.0,0.0,115.25,63.8,22.55,0.0,0.0
321.0,0.0,1055.3,1055.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,60.0,28.0,8.0,0.0,331.0,117.0,159.0,16.0,0.0,0.0,0.0,0.0,0.0,37.9,0.0,1017.4000000000001,0.0,0.0,37.9,0.0,1017.4000000000001,0.0,0.0
322.0,0.0,271.09999999999997,271.09999999999997,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,75.0,23.0,5.0,0.0,312.0,119.0,135.0,14.0,0.0,0.0,0.0,0.0,0.0,57.25,30.35,142.15,41.35,0.0,57.25,30.35,142.15,41.35,0.0
323.0,20.4,88.3,88.3,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,64.0,24.0,10.0,0.0,323.0,111.0,159.0,9.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,35.8,52.5,0.0,0.0,0.0,35.8,52.5
324.0,304.1,463.95,463.95,2.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,61.0,30.0,8.0,0.0,289.0,108.0,144.0,17.0,0.0,34.55,44.05,0.0,225.5,0.0,144.8,0.0,271.1,48.05,0.0,144.8,0.0,271.1,48.05
325.0,7.7,389.95000000000005,389.95000000000005,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,62.0,24.0,9.0,0.0,319.0,126.0,160.0,9.0,0.0,0.0,0.0,7.7,0.0,0.0,75.7,94.8,219.45,0.0,0.0,75.7,94.8,219.45,0.0
326.0,3829.75,136.45,136.45,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,74.0,16.0,8.0,0.0,326.0,122.0,154.0,10.0,1021.6,2800.0,8.15,0.0,0.0,0.0,57.25,79.2,0.0,0.0,0.0,57.25,79.2,0.0,0.0
327.0,1065.65,359.20000000000005,359.20000000000005,1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,85.0,20.0,14.0,0.0,343.0,134.0,151.0,12.0,0.0,0.0,0.0,44.05,1021.6,50.849999999999994,278.25,30.1,0.0,0.0,50.849999999999994,278.25,30.1,0.0,0.0
328.0,1989.7,457.95,457.95,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,80.0,18.0,8.0,0.0,322.0,117.0,162.0,12.0,455.8,0.0,1533.9,0.0,0.0,51.4,189.4,154.0,0.0,63.15,51.4,189.4,154.0,0.0,63.15
329.0,3857.8500000000004,293.1,293.1,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,54.0,26.0,5.0,0.0,328.0,133.0,172.0,13.0,1080.65,0.0,99.3,2677.9,0.0,0.0,226.85,66.25,0.0,0.0,0.0,226.85,66.25,0.0,0.0
330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,22.0,5.0,0.0,299.0,111.0,171.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331.0,1264.7,608.9,608.9,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,50.0,11.0,4.0,0.0,301.0,120.0,146.0,17.0,62.1,0.0,1182.2,0.0,20.4,34.7,0.0,0.0,0.0,574.1999999999999,34.7,0.0,0.0,0.0,574.1999999999999
332.0,659.45,265.05,265.05,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,63.0,22.0,11.0,0.0,356.0,120.0,173.0,8.0,0.0,27.25,0.0,0.0,632.2,0.0,204.25,0.0,0.0,60.8,0.0,204.25,0.0,0.0,60.8
