test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
70.0,2010.1499999999999,69.9,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,54.0,9.0,15.0,2.0,321.0,128.0,145.0,13.0
71.0,362.90000000000003,375.3,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,40.0,3.0,14.0,3.0,345.0,130.0,166.0,16.0
72.0,1819.85,24.6,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,55.0,5.0,15.0,3.0,331.0,103.0,162.0,10.0
73.0,1648.0,387.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,61.0,9.0,16.0,2.0,338.0,155.0,151.0,9.0
74.0,648.65,340.9,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,57.0,6.0,15.0,0.0,351.0,125.0,168.0,13.0
