test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
50.0,507.9,119.1,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,67.0,2.0,13.0,2.0,320.0,117.0,149.0,12.0
51.0,783.0500000000001,267.5,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,75.0,7.0,14.0,0.0,370.0,135.0,162.0,15.0
52.0,880.7,189.0,5.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,50.0,6.0,20.0,1.0,341.0,149.0,149.0,4.0
53.0,5713.2,392.3,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,59.0,6.0,14.0,2.0,371.0,153.0,175.0,14.0
54.0,160.25,475.6,4.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,59.0,5.0,11.0,1.0,383.0,137.0,146.0,13.0
55.0,1000.1,187.8,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,84.0,4.0,10.0,1.0,379.0,150.0,156.0,9.0
56.0,1180.2,39.25,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,70.0,5.0,22.0,2.0,362.0,144.0,173.0,18.0
57.0,54.45,38.1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,1.0,9.0,2.0,360.0,151.0,153.0,15.0
58.0,4753.9,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,57.0,6.0,18.0,1.0,342.0,166.0,146.0,11.0
59.0,52.0,105.85000000000001,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,58.0,8.0,16.0,1.0,357.0,145.0,185.0,12.0
60.0,2659.25,485.8,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,59.0,6.0,24.0,0.0,323.0,128.0,154.0,9.0
61.0,9920.8,679.15,3.0,0.0,3.0,1.0,3.0,0.0,2.0,1.0,73.0,10.0,15.0,3.0,696.0,274.0,645.0,13.0
62.0,61699.85,643.95,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,78.0,18.0,19.0,2.0,690.0,245.0,158.0,18.0
63.0,1945.8500000000001,523.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,76.0,7.0,13.0,3.0,667.0,290.0,151.0,10.0
64.0,35.9,204.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0,5.0,12.0,2.0,516.0,206.0,159.0,14.0
65.0,999.4000000000001,329.15000000000003,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,56.0,4.0,16.0,2.0,370.0,155.0,151.0,15.0
66.0,1753.65,65.95,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,52.0,3.0,15.0,0.0,353.0,119.0,171.0,7.0
67.0,0.0,484.2,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,48.0,1.0,7.0,1.0,314.0,112.0,165.0,13.0
68.0,441.85,219.39999999999998,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,57.0,4.0,15.0,0.0,348.0,121.0,140.0,9.0
69.0,775.1999999999999,226.20000000000002,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,55.0,5.0,12.0,1.0,390.0,152.0,152.0,14.0
