test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
80.0,1931.35,667.7,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,57.0,9.0,21.0,1.0,337.0,146.0,168.0,9.0
81.0,1155.4,196.29999999999998,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,62.0,1.0,18.0,1.0,314.0,119.0,153.0,13.0
82.0,837.2499999999999,550.3000000000001,2.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,40.0,10.0,22.0,1.0,365.0,128.0,156.0,8.0
83.0,502.75,269.90000000000003,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,60.0,2.0,9.0,1.0,359.0,129.0,140.0,7.0
