test_day,gain_value,loss_value_scams,total_loss,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg,bank_A_gain,bank_B_gain,bank_C_gain,bank_D_gain,bank_E_gain,bank_A_loss_scams,bank_B_loss_scams,bank_C_loss_scams,bank_D_loss_scams,bank_E_loss_scams,bank_A_loss_scams_ext,bank_B_loss_scams_ext,bank_C_loss_scams_ext,bank_D_loss_scams_ext,bank_E_loss_scams_ext
120.0,1971.6000000000001,136.1,136.1,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,61.0,9.0,12.0,1.0,357.0,138.0,153.0,12.0,0.0,1169.4,802.2,0.0,0.0,136.1,0.0,0.0,0.0,0.0,136.1,0.0,0.0,0.0,0.0
121.0,4631.0,236.04999999999998,236.04999999999998,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,57.0,8.0,15.0,4.0,378.0,121.0,157.0,10.0,42.55,88.44999999999999,4500.0,0.0,0.0,0.0,0.0,146.45,89.6,0.0,0.0,0.0,146.45,89.6,0.0
122.0,1418.6,213.8,213.8,6.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,54.0,8.0,12.0,3.0,681.0,257.0,623.0,10.0,45.1,47.4,1285.95,0.0,40.15,0.0,36.6,177.2,0.0,0.0,0.0,36.6,177.2,0.0,0.0
123.0,90.0,230.79999999999998,230.79999999999998,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,73.0,8.0,8.0,2.0,694.0,249.0,150.0,14.0,0.0,0.0,0.0,90.0,0.0,0.0,56.55,121.35,0.0,52.9,0.0,56.55,121.35,0.0,52.9
124.0,2043.0499999999997,481.85,481.85,5.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,62.0,11.0,17.0,3.0,713.0,265.0,155.0,10.0,648.65,34.8,0.0,123.6,1236.0,0.0,0.0,79.55,188.65,213.65,0.0,0.0,79.55,188.65,213.65
125.0,931.4,614.5,614.5,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,58.0,6.0,10.0,3.0,512.0,190.0,161.0,10.0,0.0,31.55,0.0,899.85,0.0,0.0,349.55,0.0,264.95,0.0,0.0,349.55,0.0,264.95,0.0
126.0,853.4,122.05000000000001,122.05000000000001,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,66.0,4.0,15.0,3.0,313.0,136.0,162.0,8.0,0.0,696.05,0.0,0.0,157.35,0.0,0.0,0.0,33.2,88.85,0.0,0.0,0.0,33.2,88.85
127.0,42.3,266.65,266.65,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,47.0,5.0,18.0,2.0,312.0,143.0,143.0,13.0,0.0,0.0,0.0,42.3,0.0,0.0,0.0,201.0,17.2,48.45,0.0,0.0,201.0,17.2,48.45
128.0,13778.55,29.9,29.9,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,51.0,5.0,17.0,1.0,346.0,143.0,152.0,12.0,4577.65,0.0,8398.7,0.0,802.2,0.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,29.9,0.0
129.0,413.1,139.65,139.65,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,55.0,7.0,27.0,2.0,395.0,117.0,164.0,12.0,33.0,34.55,27.25,0.0,318.3,0.0,139.65,0.0,0.0,0.0,0.0,139.65,0.0,0.0,0.0
