test_day,invest
405.0,370070.0
405.0,370088.0
405.0,370163.0
405.0,370174.0
405.0,370182.0
405.0,370191.0
405.0,370212.0
405.0,370218.0
405.0,370248.0
405.0,370254.0
405.0,370258.0
405.0,370260.0
405.0,370288.0
405.0,370294.0
405.0,370299.0
405.0,370317.0
405.0,370318.0
405.0,370354.0
405.0,370368.0
405.0,370377.0
405.0,370378.0
405.0,370403.0
405.0,370408.0
405.0,370418.0
405.0,370433.0
405.0,370452.0
405.0,370453.0
405.0,370457.0
405.0,370487.0
405.0,370508.0
405.0,370513.0
405.0,370529.0
405.0,370561.0
405.0,370564.0
405.0,370565.0
405.0,370569.0
405.0,370590.0
405.0,370601.0
405.0,370602.0
405.0,370605.0
405.0,370637.0
405.0,370660.0
405.0,370672.0
405.0,370678.0
405.0,370679.0
405.0,370690.0
405.0,370714.0
405.0,370740.0
405.0,370744.0
405.0,370765.0
405.0,370775.0
405.0,370789.0
405.0,370811.0
405.0,370815.0
405.0,370824.0
405.0,370838.0
405.0,370847.0
405.0,370848.0
405.0,370877.0
405.0,370894.0
405.0,370897.0
405.0,370908.0
405.0,370926.0
405.0,370928.0
405.0,370953.0
405.0,370956.0
405.0,370988.0
405.0,370989.0
405.0,370992.0
405.0,370993.0
405.0,371004.0
406.0,374897.0
406.0,374899.0
406.0,374929.0
406.0,374936.0
406.0,374937.0
406.0,374948.0
406.0,374996.0
406.0,375000.0
406.0,375002.0
406.0,375010.0
406.0,375017.0
406.0,375028.0
406.0,375030.0
406.0,375036.0
406.0,375066.0
406.0,375084.0
406.0,375105.0
406.0,375117.0
406.0,375118.0
406.0,375121.0
406.0,375139.0
406.0,375141.0
406.0,375152.0
406.0,375154.0
406.0,375168.0
406.0,375172.0
406.0,375195.0
406.0,375198.0
406.0,375199.0
406.0,375217.0
406.0,375218.0
406.0,375245.0
406.0,375246.0
406.0,375247.0
406.0,375255.0
406.0,375262.0
406.0,375269.0
406.0,375273.0
406.0,375281.0
406.0,375289.0
406.0,375306.0
406.0,375308.0
406.0,375330.0
406.0,375333.0
406.0,375338.0
406.0,375341.0
406.0,375363.0
406.0,375377.0
406.0,375394.0
406.0,375400.0
406.0,375471.0
406.0,375489.0
406.0,375504.0
406.0,375519.0
406.0,375534.0
406.0,375544.0
406.0,375548.0
406.0,375574.0
406.0,375602.0
406.0,375610.0
406.0,375633.0
406.0,375652.0
406.0,375692.0
406.0,375693.0
406.0,375714.0
406.0,375718.0
406.0,375719.0
406.0,375742.0
406.0,375745.0
406.0,375764.0
406.0,375776.0
406.0,375784.0
406.0,375806.0
406.0,375808.0
406.0,375815.0
407.0,379637.0
407.0,379648.0
407.0,379654.0
407.0,379658.0
407.0,379660.0
407.0,379661.0
407.0,379674.0
407.0,379689.0
407.0,379771.0
407.0,379780.0
407.0,379799.0
407.0,379841.0
407.0,379851.0
407.0,379856.0
407.0,379857.0
407.0,379888.0
407.0,379896.0
407.0,379933.0
407.0,379942.0
407.0,379946.0
407.0,379957.0
407.0,379966.0
407.0,379987.0
407.0,379993.0
407.0,380000.0
407.0,380003.0
407.0,380011.0
407.0,380016.0
407.0,380019.0
407.0,380021.0
407.0,380052.0
407.0,380063.0
407.0,380075.0
407.0,380087.0
407.0,380099.0
407.0,380108.0
407.0,380121.0
407.0,380129.0
407.0,380131.0
407.0,380134.0
407.0,380143.0
407.0,380144.0
407.0,380151.0
407.0,380152.0
407.0,380185.0
407.0,380203.0
407.0,380206.0
407.0,380210.0
407.0,380211.0
407.0,380217.0
407.0,380220.0
407.0,380225.0
407.0,380228.0
407.0,380236.0
407.0,380244.0
407.0,380267.0
407.0,380269.0
407.0,380287.0
407.0,380289.0
407.0,380291.0
407.0,380295.0
407.0,380312.0
407.0,380314.0
407.0,380332.0
407.0,380333.0
407.0,380335.0
407.0,380358.0
407.0,380369.0
407.0,380375.0
407.0,380377.0
407.0,380386.0
407.0,380388.0
407.0,380395.0
407.0,380410.0
407.0,380441.0
407.0,380491.0
407.0,380492.0
407.0,380502.0
407.0,380508.0
407.0,380533.0
407.0,380542.0
407.0,380557.0
407.0,380561.0
407.0,380569.0
407.0,380580.0
407.0,380588.0
407.0,380590.0
407.0,380611.0
407.0,380619.0
407.0,380625.0
407.0,380626.0
407.0,380639.0
408.0,384397.0
408.0,384402.0
408.0,384416.0
408.0,384436.0
408.0,384474.0
408.0,384497.0
408.0,384502.0
408.0,384517.0
408.0,384544.0
408.0,384555.0
408.0,384558.0
408.0,384562.0
408.0,384593.0
408.0,384600.0
408.0,384619.0
408.0,384651.0
408.0,384659.0
408.0,384666.0
408.0,384667.0
408.0,384675.0
408.0,384680.0
408.0,384682.0
408.0,384697.0
408.0,384707.0
408.0,384715.0
408.0,384727.0
408.0,384739.0
408.0,384741.0
408.0,384747.0
408.0,384753.0
408.0,384757.0
408.0,384758.0
408.0,384763.0
408.0,384773.0
408.0,384781.0
408.0,384794.0
408.0,384801.0
408.0,384837.0
408.0,384840.0
408.0,384867.0
408.0,384893.0
408.0,384913.0
408.0,384931.0
408.0,384960.0
408.0,384970.0
408.0,384974.0
408.0,384977.0
408.0,385003.0
408.0,385008.0
408.0,385011.0
408.0,385015.0
408.0,385022.0
408.0,385031.0
408.0,385047.0
408.0,385064.0
408.0,385072.0
408.0,385079.0
408.0,385080.0
408.0,385086.0
408.0,385090.0
408.0,385103.0
408.0,385112.0
408.0,385121.0
408.0,385148.0
408.0,385152.0
408.0,385162.0
408.0,385164.0
408.0,385184.0
408.0,385205.0
408.0,385235.0
408.0,385238.0
408.0,385239.0
408.0,385245.0
408.0,385298.0
408.0,385301.0
408.0,385315.0
408.0,385319.0
408.0,385323.0
408.0,385324.0
408.0,385341.0
408.0,385346.0
408.0,385350.0
408.0,385360.0
408.0,385371.0
408.0,385393.0
408.0,385404.0
408.0,385422.0
408.0,385432.0
408.0,385435.0
408.0,385444.0
408.0,385445.0
408.0,385448.0
409.0,389381.0
409.0,389389.0
409.0,389392.0
409.0,389395.0
409.0,389406.0
409.0,389407.0
409.0,389434.0
409.0,389447.0
409.0,389450.0
409.0,389467.0
409.0,389474.0
409.0,389499.0
409.0,389508.0
409.0,389513.0
409.0,389515.0
409.0,389519.0
409.0,389521.0
409.0,389523.0
409.0,389531.0
409.0,389532.0
409.0,389546.0
409.0,389548.0
409.0,389551.0
409.0,389566.0
409.0,389567.0
409.0,389577.0
409.0,389582.0
409.0,389598.0
409.0,389600.0
409.0,389621.0
409.0,389662.0
409.0,389677.0
409.0,389690.0
409.0,389712.0
409.0,389730.0
409.0,389752.0
409.0,389757.0
409.0,389764.0
409.0,389797.0
409.0,389798.0
409.0,389799.0
409.0,389860.0
409.0,389862.0
409.0,389872.0
409.0,389877.0
409.0,389892.0
409.0,389893.0
409.0,389909.0
409.0,389915.0
409.0,389921.0
409.0,389927.0
409.0,389928.0
409.0,389929.0
409.0,389930.0
409.0,389937.0
409.0,389944.0
409.0,389949.0
409.0,389950.0
409.0,389965.0
409.0,389971.0
409.0,389972.0
409.0,389975.0
409.0,389985.0
409.0,389986.0
409.0,389994.0
409.0,390016.0
409.0,390027.0
409.0,390028.0
409.0,390054.0
409.0,390055.0
409.0,390060.0
409.0,390064.0
409.0,390074.0
409.0,390092.0
409.0,390099.0
409.0,390103.0
409.0,390107.0
409.0,390121.0
409.0,390132.0
409.0,390135.0
409.0,390150.0
409.0,390170.0
409.0,390191.0
409.0,390195.0
409.0,390212.0
409.0,390213.0
409.0,390214.0
409.0,390220.0
409.0,390226.0
409.0,390246.0
409.0,390255.0
410.0,394319.0
410.0,394352.0
410.0,394374.0
410.0,394377.0
410.0,394397.0
410.0,394410.0
410.0,394420.0
410.0,394422.0
410.0,394424.0
410.0,394426.0
410.0,394429.0
410.0,394442.0
410.0,394450.0
410.0,394455.0
410.0,394485.0
410.0,394511.0
410.0,394519.0
410.0,394520.0
410.0,394526.0
410.0,394536.0
410.0,394551.0
410.0,394552.0
410.0,394608.0
410.0,394617.0
410.0,394628.0
410.0,394640.0
410.0,394650.0
410.0,394654.0
410.0,394659.0
410.0,394680.0
410.0,394699.0
410.0,394704.0
410.0,394772.0
410.0,394775.0
410.0,394789.0
410.0,394815.0
410.0,394819.0
410.0,394829.0
410.0,394834.0
410.0,394867.0
410.0,394877.0
410.0,394897.0
410.0,394910.0
410.0,394916.0
410.0,394928.0
410.0,394931.0
410.0,394936.0
410.0,394943.0
410.0,394947.0
410.0,394961.0
410.0,394975.0
410.0,394981.0
410.0,394992.0
410.0,395008.0
410.0,395039.0
410.0,395041.0
410.0,395052.0
410.0,395070.0
410.0,395080.0
410.0,395081.0
410.0,395082.0
410.0,395117.0
410.0,395122.0
410.0,395129.0
410.0,395130.0
410.0,395136.0
410.0,395147.0
410.0,395190.0
410.0,395198.0
410.0,395201.0
410.0,395203.0
410.0,395207.0
410.0,395209.0
410.0,395213.0
410.0,395237.0
410.0,395239.0
410.0,395242.0
410.0,395247.0
410.0,395262.0
410.0,395281.0
410.0,395322.0
411.0,399111.0
411.0,399116.0
411.0,399141.0
411.0,399161.0
411.0,399170.0
411.0,399178.0
411.0,399186.0
411.0,399188.0
411.0,399194.0
411.0,399196.0
411.0,399198.0
411.0,399206.0
411.0,399212.0
411.0,399235.0
411.0,399240.0
411.0,399253.0
411.0,399256.0
411.0,399263.0
411.0,399281.0
411.0,399284.0
411.0,399286.0
411.0,399294.0
411.0,399320.0
411.0,399387.0
411.0,399395.0
411.0,399396.0
411.0,399397.0
411.0,399409.0
411.0,399414.0
411.0,399421.0
411.0,399427.0
411.0,399443.0
411.0,399445.0
411.0,399456.0
411.0,399465.0
411.0,399484.0
411.0,399487.0
411.0,399488.0
411.0,399495.0
411.0,399524.0
411.0,399529.0
411.0,399538.0
411.0,399547.0
411.0,399555.0
411.0,399572.0
411.0,399574.0
411.0,399585.0
411.0,399591.0
411.0,399597.0
411.0,399603.0
411.0,399607.0
411.0,399620.0
411.0,399629.0
411.0,399635.0
411.0,399652.0
411.0,399674.0
411.0,399695.0
411.0,399696.0
411.0,399706.0
411.0,399713.0
411.0,399729.0
411.0,399795.0
411.0,399820.0
411.0,399822.0
411.0,399830.0
411.0,399832.0
411.0,399834.0
411.0,399845.0
411.0,399848.0
411.0,399849.0
411.0,399853.0
411.0,399857.0
411.0,399891.0
411.0,399897.0
411.0,399906.0
411.0,399926.0
411.0,399931.0
411.0,399955.0
411.0,399964.0
411.0,399967.0
411.0,399989.0
411.0,399996.0
411.0,400005.0
411.0,400006.0
411.0,400016.0
411.0,400021.0
411.0,400035.0
411.0,400049.0
411.0,400064.0
412.0,403964.0
412.0,403967.0
412.0,403974.0
412.0,403987.0
412.0,404002.0
412.0,404007.0
412.0,404028.0
412.0,404039.0
412.0,404041.0
412.0,404043.0
412.0,404051.0
412.0,404053.0
412.0,404063.0
412.0,404067.0
412.0,404081.0
412.0,404103.0
412.0,404175.0
412.0,404176.0
412.0,404184.0
412.0,404199.0
412.0,404226.0
412.0,404237.0
412.0,404238.0
412.0,404240.0
412.0,404245.0
412.0,404247.0
412.0,404248.0
412.0,404266.0
412.0,404270.0
412.0,404271.0
412.0,404281.0
412.0,404317.0
412.0,404318.0
412.0,404358.0
412.0,404366.0
412.0,404387.0
412.0,404402.0
412.0,404429.0
412.0,404436.0
412.0,404440.0
412.0,404459.0
412.0,404468.0
412.0,404479.0
412.0,404486.0
412.0,404510.0
412.0,404518.0
412.0,404537.0
412.0,404566.0
412.0,404581.0
412.0,404582.0
412.0,404624.0
412.0,404640.0
