test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
345.0,746.15,219.85,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,53.0,12.0,12.0,0.0,358.0,136.0,159.0,8.0
346.0,156.05,496.99999999999994,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,67.0,10.0,15.0,0.0,346.0,115.0,178.0,17.0
347.0,145.05,187.8,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,56.0,7.0,10.0,1.0,340.0,153.0,171.0,8.0
348.0,3981.3999999999996,23.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,63.0,5.0,13.0,0.0,369.0,127.0,171.0,10.0
349.0,884.05,228.39999999999998,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,71.0,14.0,16.0,2.0,386.0,121.0,165.0,21.0
350.0,77.85,14.05,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77.0,7.0,12.0,1.0,325.0,128.0,170.0,16.0
351.0,5688.7,510.3,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,60.0,9.0,12.0,0.0,348.0,131.0,160.0,7.0
352.0,776.8,106.4,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,64.0,5.0,15.0,0.0,331.0,130.0,173.0,12.0
353.0,4587.55,453.20000000000005,2.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,70.0,5.0,11.0,1.0,351.0,136.0,166.0,9.0
354.0,1395.8000000000002,227.85,4.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,69.0,5.0,8.0,0.0,357.0,140.0,141.0,7.0
355.0,507.9,119.1,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,70.0,5.0,9.0,1.0,317.0,114.0,153.0,13.0
356.0,1022.5500000000001,28.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,82.0,10.0,10.0,0.0,363.0,132.0,166.0,15.0
357.0,994.25,75.45,4.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,56.0,5.0,14.0,1.0,335.0,150.0,155.0,4.0
358.0,5981.400000000001,124.1,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,63.0,5.0,10.0,1.0,367.0,154.0,179.0,15.0
359.0,189.7,446.15000000000003,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,70.0,3.0,6.0,1.0,372.0,139.0,151.0,13.0
360.0,1134.25,53.65,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,93.0,3.0,8.0,0.0,370.0,151.0,158.0,10.0
361.0,1180.2,39.25,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,75.0,4.0,16.0,0.0,357.0,145.0,179.0,20.0
362.0,54.45,38.1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,1.0,6.0,0.0,350.0,151.0,156.0,17.0
363.0,4500.0,253.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,62.0,4.0,15.0,0.0,337.0,168.0,149.0,12.0
364.0,104.95,52.900000000000006,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65.0,6.0,12.0,0.0,350.0,147.0,189.0,13.0
365.0,2573.7,571.3499999999999,3.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,69.0,4.0,17.0,0.0,313.0,130.0,161.0,9.0
366.0,14157.6,662.35,3.0,0.0,3.0,1.0,3.0,0.0,2.0,1.0,167.0,57.0,8.0,3.0,602.0,227.0,652.0,13.0
367.0,65039.85,643.95,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,155.0,56.0,11.0,2.0,614.0,207.0,166.0,18.0
368.0,5712.45,526.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,146.0,69.0,7.0,2.0,597.0,228.0,157.0,11.0
369.0,586.6,3.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,83.0,38.0,11.0,1.0,500.0,173.0,160.0,15.0
370.0,1242.0,86.55000000000001,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,65.0,8.0,9.0,2.0,361.0,151.0,158.0,15.0
371.0,1753.65,65.95,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,60.0,2.0,9.0,0.0,345.0,120.0,177.0,7.0
372.0,0.0,484.2,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,55.0,2.0,6.0,0.0,307.0,111.0,166.0,14.0
373.0,0.0,661.2500000000001,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,64.0,3.0,12.0,0.0,341.0,122.0,143.0,9.0
374.0,775.1999999999999,226.20000000000002,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,71.0,8.0,7.0,1.0,374.0,149.0,157.0,14.0
375.0,2080.05,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,16.0,2.0,315.0,127.0,144.0,13.0
376.0,362.90000000000003,375.3,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,48.0,3.0,10.0,1.0,337.0,130.0,170.0,18.0
377.0,1819.85,24.6,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,67.0,2.0,10.0,3.0,319.0,106.0,167.0,10.0
378.0,1648.0,387.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,68.0,5.0,15.0,0.0,331.0,159.0,152.0,11.0
379.0,756.9499999999999,232.6,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,59.0,5.0,12.0,0.0,349.0,126.0,171.0,13.0
380.0,418.75,334.40000000000003,4.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0,55.0,2.0,12.0,1.0,302.0,123.0,165.0,12.0
381.0,8212.95,170.79999999999998,3.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,65.0,10.0,14.0,0.0,348.0,142.0,172.0,12.0
382.0,1429.8999999999999,274.29999999999995,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,60.0,1.0,10.0,1.0,335.0,135.0,159.0,9.0
383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,5.0,15.0,1.0,359.0,161.0,147.0,2.0
384.0,72.45,50.5,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,1.0,12.0,0.0,345.0,146.0,162.0,13.0
385.0,2203.75,395.3,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,64.0,5.0,14.0,0.0,330.0,150.0,175.0,10.0
386.0,1155.4,196.29999999999998,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,64.0,1.0,12.0,1.0,312.0,119.0,159.0,13.0
387.0,837.2499999999999,550.3000000000001,2.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,44.0,5.0,15.0,1.0,361.0,133.0,163.0,8.0
388.0,502.75,269.90000000000003,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,67.0,1.0,6.0,1.0,352.0,130.0,143.0,7.0
389.0,0.0,226.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0,6.0,11.0,0.0,299.0,132.0,145.0,15.0
390.0,115.45,270.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,67.0,0.0,11.0,1.0,295.0,131.0,158.0,10.0
391.0,1653.1,469.85,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,76.0,2.0,13.0,3.0,334.0,156.0,191.0,13.0
392.0,335.09999999999997,486.4,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,65.0,2.0,12.0,0.0,328.0,132.0,163.0,14.0
393.0,1101.3,763.9,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,64.0,3.0,14.0,1.0,346.0,132.0,127.0,13.0
394.0,71.6,76.05,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,69.0,4.0,15.0,0.0,320.0,129.0,165.0,8.0
395.0,164.45,262.95,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,70.0,3.0,11.0,1.0,326.0,135.0,154.0,9.0
396.0,1850.6999999999998,210.65,6.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,63.0,3.0,13.0,0.0,328.0,144.0,159.0,14.0
397.0,6180.9,281.40000000000003,6.0,1.0,3.0,0.0,7.0,1.0,0.0,0.0,130.0,54.0,13.0,2.0,607.0,216.0,654.0,8.0
398.0,5012.6,149.85,4.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,150.0,48.0,10.0,1.0,622.0,232.0,183.0,9.0
399.0,5574.65,33.3,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,139.0,57.0,9.0,0.0,598.0,240.0,156.0,12.0
400.0,81.6,236.04999999999998,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,90.0,24.0,13.0,1.0,531.0,177.0,154.0,16.0
401.0,2189.0,206.35000000000002,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,77.0,5.0,9.0,0.0,349.0,130.0,179.0,11.0
402.0,1139.5,156.6,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,66.0,1.0,5.0,1.0,363.0,149.0,173.0,13.0
403.0,1547.0,278.55,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,79.0,5.0,9.0,1.0,362.0,139.0,136.0,13.0
404.0,4203.549999999999,301.8,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,56.0,3.0,10.0,1.0,352.0,129.0,137.0,17.0
405.0,1997.0,429.59999999999997,3.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,59.0,5.0,15.0,0.0,350.0,133.0,145.0,7.0
406.0,7547.0,28.2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,62.0,3.0,9.0,0.0,359.0,122.0,160.0,11.0
407.0,186.55,820.3499999999999,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,77.0,2.0,11.0,1.0,339.0,146.0,176.0,17.0
408.0,223.95,75.35,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,75.0,2.0,13.0,0.0,372.0,149.0,174.0,17.0
409.0,208.55,489.34999999999997,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,68.0,3.0,15.0,1.0,310.0,144.0,141.0,8.0
410.0,20.15,246.35,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,60.0,5.0,15.0,1.0,344.0,152.0,190.0,11.0
411.0,68.4,1509.7,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,71.0,5.0,12.0,0.0,323.0,161.0,168.0,12.0
412.0,509.65,31.15,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,50.0,6.0,13.0,1.0,360.0,140.0,185.0,9.0
413.0,1607.7,62.15,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,67.0,4.0,6.0,0.0,385.0,167.0,180.0,6.0
414.0,62.35,170.05,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.0,5.0,11.0,0.0,323.0,142.0,171.0,18.0
415.0,383.4,246.25,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,49.0,2.0,15.0,0.0,358.0,161.0,164.0,14.0
416.0,133.4,208.35000000000002,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,57.0,3.0,12.0,2.0,321.0,131.0,169.0,16.0
417.0,129.39999999999998,308.8,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,69.0,1.0,16.0,1.0,355.0,121.0,163.0,13.0
418.0,33.15,128.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.0,4.0,14.0,2.0,347.0,156.0,185.0,10.0
419.0,1313.15,96.15,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,58.0,3.0,5.0,0.0,331.0,152.0,152.0,8.0
420.0,136.89999999999998,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,7.0,9.0,1.0,338.0,124.0,163.0,11.0
421.0,249.10000000000002,284.75,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,74.0,3.0,6.0,3.0,333.0,124.0,164.0,8.0
422.0,3456.45,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,57.0,4.0,10.0,1.0,354.0,149.0,165.0,14.0
423.0,31.55,134.45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,69.0,2.0,5.0,1.0,358.0,126.0,166.0,6.0
424.0,1353.7,358.9,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,77.0,2.0,10.0,1.0,357.0,158.0,149.0,7.0
