test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
306.0,8817.0,659.4,2.0,1.0,2.0,2.0,6.0,0.0,1.0,0.0,118.0,47.0,17.0,0.0,626.0,221.0,165.0,19.0
307.0,3130.0,897.05,0.0,0.0,0.0,1.0,7.0,2.0,1.0,1.0,104.0,61.0,7.0,0.0,661.0,212.0,147.0,11.0
308.0,2977.25,543.9,0.0,1.0,2.0,0.0,6.0,1.0,1.0,0.0,68.0,47.0,7.0,0.0,519.0,145.0,149.0,12.0
309.0,520.05,83.05000000000001,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,70.0,24.0,8.0,0.0,341.0,102.0,156.0,16.0
310.0,702.0,338.59999999999997,3.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,77.0,16.0,7.0,0.0,326.0,109.0,173.0,14.0
311.0,1964.75,182.60000000000002,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,68.0,20.0,6.0,0.0,345.0,125.0,164.0,15.0
312.0,2777.3,106.8,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,60.0,16.0,5.0,0.0,366.0,126.0,171.0,13.0
313.0,474.90000000000003,7828.2,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,51.0,14.0,4.0,0.0,311.0,131.0,165.0,7.0
314.0,3165.9,313.75,3.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,76.0,32.0,8.0,0.0,354.0,106.0,167.0,12.0
315.0,63.85,8618.75,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,56.0,11.0,3.0,0.0,298.0,144.0,175.0,12.0
316.0,1721.35,685.6,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,61.0,16.0,4.0,0.0,348.0,118.0,156.0,10.0
