test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
38.0,140.0,185.3,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,5.0,5.0,0.0,346.0,175.0,185.0,14.0
39.0,308.1,137.5,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,48.0,6.0,5.0,0.0,340.0,137.0,129.0,15.0
40.0,0.0,302.05,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,42.0,3.0,4.0,0.0,322.0,125.0,159.0,11.0
41.0,218.95000000000002,226.84999999999997,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,51.0,1.0,2.0,0.0,320.0,146.0,144.0,14.0
42.0,507.45,213.10000000000002,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,55.0,4.0,5.0,0.0,338.0,146.0,173.0,10.0
43.0,99.80000000000001,47.6,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,6.0,4.0,0.0,352.0,140.0,169.0,12.0
44.0,543.35,237.3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,7.0,4.0,0.0,340.0,120.0,172.0,14.0
45.0,134.45,798.5,3.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,47.0,4.0,2.0,0.0,322.0,142.0,172.0,9.0
46.0,594.3000000000001,239.39999999999998,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,54.0,3.0,4.0,0.0,319.0,142.0,171.0,6.0
47.0,281.15,568.8,3.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,49.0,5.0,2.0,0.0,328.0,153.0,160.0,12.0
48.0,226.8,471.45,2.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,52.0,1.0,2.0,0.0,318.0,150.0,141.0,11.0
49.0,157.8,822.5500000000002,4.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,62.0,3.0,3.0,0.0,360.0,138.0,163.0,14.0
50.0,234.7,743.5500000000001,6.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,60.0,6.0,4.0,0.0,324.0,122.0,164.0,11.0
51.0,53.1,794.9499999999999,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,53.0,4.0,3.0,0.0,357.0,141.0,163.0,3.0
52.0,295.35,499.15000000000003,2.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,60.0,5.0,8.0,0.0,360.0,127.0,171.0,12.0
53.0,814.6999999999999,591.5500000000001,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,46.0,2.0,6.0,0.0,302.0,127.0,164.0,1.0
