test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
306.0,11747.0,659.4,2.0,1.0,2.0,2.0,6.0,0.0,1.0,0.0,144.0,72.0,22.0,1.0,600.0,196.0,160.0,18.0
307.0,2011.4,785.65,2.0,0.0,0.0,1.0,5.0,2.0,1.0,1.0,52.0,43.0,16.0,1.0,713.0,230.0,138.0,10.0
308.0,3493.6499999999996,577.5,1.0,0.0,2.0,0.0,5.0,2.0,1.0,0.0,45.0,31.0,25.0,1.0,542.0,161.0,131.0,11.0
309.0,353.54999999999995,249.55,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,60.0,26.0,13.0,3.0,350.0,100.0,151.0,13.0
310.0,1280.0,360.59999999999997,3.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,63.0,23.0,21.0,4.0,340.0,102.0,159.0,10.0
311.0,1766.85,380.5,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,64.0,15.0,12.0,1.0,349.0,130.0,158.0,14.0
312.0,3432.85,201.25,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,67.0,31.0,15.0,3.0,358.0,111.0,161.0,10.0
313.0,7974.900000000001,328.2,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,49.0,9.0,8.0,1.0,313.0,136.0,161.0,6.0
314.0,3122.8,356.85,5.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,70.0,12.0,17.0,1.0,360.0,126.0,158.0,11.0
315.0,8580.65,101.95,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,60.0,14.0,8.0,0.0,294.0,141.0,170.0,12.0
316.0,1753.85,653.1,3.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,63.0,12.0,9.0,0.0,346.0,122.0,151.0,10.0
317.0,47.0,295.6,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,105.0,25.0,9.0,1.0,307.0,125.0,161.0,15.0
318.0,8396.15,288.7,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,59.0,27.0,24.0,2.0,382.0,121.0,162.0,6.0
319.0,50.25,324.05,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,71.0,21.0,13.0,1.0,329.0,126.0,159.0,8.0
320.0,992.65,204.00000000000003,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,71.0,17.0,12.0,0.0,357.0,121.0,144.0,12.0
321.0,0.0,1055.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,51.0,23.0,10.0,2.0,340.0,122.0,157.0,14.0
322.0,112.1,159.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,17.0,9.0,0.0,325.0,125.0,131.0,14.0
323.0,20.4,88.3,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,58.0,23.0,17.0,0.0,329.0,112.0,152.0,9.0
324.0,374.95,393.09999999999997,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,53.0,26.0,11.0,2.0,297.0,112.0,141.0,15.0
325.0,30.6,367.05,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,48.0,15.0,16.0,0.0,333.0,135.0,153.0,9.0
326.0,3887.0,79.2,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,68.0,12.0,14.0,2.0,332.0,126.0,148.0,8.0
327.0,1065.65,359.20000000000005,1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,74.0,20.0,20.0,0.0,354.0,134.0,145.0,12.0
328.0,2183.65,264.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,73.0,21.0,13.0,1.0,329.0,114.0,157.0,11.0
329.0,3857.8500000000004,293.1,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,49.0,21.0,13.0,0.0,333.0,138.0,164.0,13.0
330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,20.0,15.0,1.0,304.0,113.0,161.0,14.0
331.0,1202.6000000000001,671.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,49.0,11.0,11.0,1.0,302.0,120.0,139.0,16.0
332.0,203.5,721.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,52.0,23.0,15.0,1.0,367.0,119.0,169.0,7.0
333.0,56.2,81.75,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.0,19.0,14.0,0.0,357.0,120.0,158.0,10.0
334.0,212.74999999999997,865.0999999999999,3.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,63.0,16.0,13.0,0.0,352.0,125.0,159.0,14.0
