test_day,invest
405.0,370070.0
405.0,370088.0
405.0,370163.0
405.0,370174.0
405.0,370182.0
405.0,370191.0
405.0,370212.0
405.0,370218.0
405.0,370248.0
405.0,370254.0
405.0,370258.0
405.0,370260.0
405.0,370288.0
405.0,370294.0
405.0,370299.0
405.0,370317.0
405.0,370318.0
405.0,370354.0
405.0,370368.0
405.0,370377.0
405.0,370378.0
405.0,370403.0
405.0,370408.0
405.0,370418.0
405.0,370433.0
405.0,370452.0
405.0,370453.0
405.0,370457.0
405.0,370487.0
405.0,370508.0
405.0,370513.0
405.0,370529.0
405.0,370561.0
405.0,370564.0
405.0,370565.0
405.0,370569.0
405.0,370590.0
405.0,370601.0
405.0,370602.0
405.0,370605.0
405.0,370637.0
405.0,370660.0
405.0,370672.0
405.0,370678.0
405.0,370679.0
405.0,370690.0
405.0,370714.0
405.0,370740.0
405.0,370744.0
405.0,370765.0
405.0,370775.0
405.0,370789.0
405.0,370811.0
405.0,370815.0
405.0,370824.0
405.0,370838.0
405.0,370847.0
405.0,370848.0
405.0,370877.0
405.0,370894.0
405.0,370897.0
405.0,370908.0
405.0,370926.0
405.0,370928.0
405.0,370953.0
405.0,370956.0
405.0,370988.0
405.0,370989.0
405.0,370992.0
405.0,370993.0
405.0,371004.0
406.0,374897.0
406.0,374899.0
406.0,374929.0
406.0,374936.0
406.0,374937.0
406.0,374948.0
406.0,374996.0
406.0,375000.0
406.0,375002.0
406.0,375010.0
406.0,375017.0
406.0,375028.0
406.0,375030.0
406.0,375036.0
406.0,375066.0
406.0,375084.0
406.0,375105.0
406.0,375117.0
406.0,375118.0
406.0,375121.0
406.0,375139.0
406.0,375141.0
406.0,375152.0
406.0,375154.0
406.0,375168.0
406.0,375172.0
406.0,375195.0
406.0,375198.0
406.0,375199.0
406.0,375217.0
406.0,375218.0
406.0,375245.0
406.0,375246.0
406.0,375247.0
406.0,375255.0
406.0,375262.0
406.0,375269.0
406.0,375273.0
406.0,375281.0
406.0,375289.0
406.0,375306.0
406.0,375308.0
406.0,375330.0
406.0,375333.0
406.0,375338.0
406.0,375341.0
406.0,375363.0
406.0,375377.0
406.0,375394.0
406.0,375400.0
406.0,375471.0
406.0,375489.0
406.0,375504.0
406.0,375519.0
406.0,375534.0
406.0,375544.0
406.0,375548.0
406.0,375574.0
406.0,375602.0
406.0,375610.0
406.0,375633.0
406.0,375652.0
406.0,375692.0
406.0,375693.0
406.0,375714.0
406.0,375718.0
406.0,375719.0
406.0,375742.0
406.0,375745.0
406.0,375764.0
406.0,375776.0
406.0,375784.0
406.0,375806.0
406.0,375808.0
406.0,375815.0
407.0,379637.0
407.0,379648.0
407.0,379654.0
407.0,379658.0
407.0,379660.0
407.0,379661.0
407.0,379674.0
407.0,379689.0
407.0,379771.0
407.0,379780.0
407.0,379799.0
407.0,379841.0
407.0,379851.0
407.0,379856.0
407.0,379857.0
407.0,379888.0
407.0,379896.0
407.0,379933.0
407.0,379942.0
407.0,379946.0
407.0,379957.0
407.0,379966.0
407.0,379987.0
407.0,379993.0
407.0,380000.0
407.0,380003.0
407.0,380011.0
407.0,380016.0
407.0,380019.0
407.0,380021.0
407.0,380052.0
407.0,380063.0
407.0,380075.0
407.0,380087.0
407.0,380099.0
407.0,380108.0
407.0,380121.0
407.0,380129.0
407.0,380131.0
407.0,380134.0
407.0,380143.0
407.0,380144.0
407.0,380151.0
407.0,380152.0
407.0,380185.0
407.0,380203.0
407.0,380206.0
407.0,380210.0
407.0,380211.0
407.0,380217.0
407.0,380220.0
407.0,380225.0
407.0,380228.0
407.0,380236.0
407.0,380244.0
407.0,380267.0
407.0,380269.0
407.0,380287.0
407.0,380289.0
407.0,380291.0
407.0,380295.0
407.0,380312.0
407.0,380314.0
407.0,380332.0
407.0,380333.0
407.0,380335.0
407.0,380358.0
407.0,380369.0
407.0,380375.0
407.0,380377.0
407.0,380386.0
407.0,380388.0
407.0,380395.0
407.0,380410.0
407.0,380441.0
407.0,380491.0
407.0,380492.0
407.0,380502.0
407.0,380508.0
407.0,380533.0
407.0,380542.0
407.0,380557.0
407.0,380561.0
407.0,380569.0
407.0,380580.0
407.0,380588.0
407.0,380590.0
407.0,380611.0
407.0,380619.0
407.0,380625.0
407.0,380626.0
407.0,380639.0
408.0,384397.0
408.0,384402.0
408.0,384416.0
408.0,384436.0
408.0,384474.0
408.0,384497.0
408.0,384502.0
408.0,384517.0
408.0,384544.0
408.0,384555.0
408.0,384558.0
408.0,384562.0
408.0,384593.0
408.0,384600.0
408.0,384619.0
408.0,384651.0
408.0,384659.0
408.0,384666.0
408.0,384667.0
408.0,384675.0
408.0,384680.0
408.0,384682.0
408.0,384697.0
408.0,384707.0
408.0,384715.0
408.0,384727.0
408.0,384739.0
408.0,384741.0
408.0,384747.0
408.0,384753.0
408.0,384757.0
408.0,384758.0
408.0,384763.0
408.0,384773.0
408.0,384781.0
408.0,384794.0
408.0,384801.0
408.0,384837.0
408.0,384840.0
408.0,384867.0
408.0,384893.0
408.0,384913.0
408.0,384931.0
408.0,384960.0
408.0,384970.0
408.0,384974.0
408.0,384977.0
408.0,385003.0
408.0,385008.0
408.0,385011.0
408.0,385015.0
408.0,385022.0
408.0,385031.0
408.0,385047.0
408.0,385064.0
408.0,385072.0
408.0,385079.0
408.0,385080.0
408.0,385086.0
408.0,385090.0
408.0,385103.0
408.0,385112.0
408.0,385121.0
408.0,385148.0
408.0,385152.0
408.0,385162.0
408.0,385164.0
408.0,385184.0
408.0,385205.0
408.0,385235.0
408.0,385238.0
408.0,385239.0
408.0,385245.0
408.0,385298.0
408.0,385301.0
408.0,385315.0
408.0,385319.0
408.0,385323.0
408.0,385324.0
408.0,385341.0
408.0,385346.0
408.0,385350.0
408.0,385360.0
408.0,385371.0
408.0,385393.0
408.0,385404.0
408.0,385422.0
408.0,385432.0
408.0,385435.0
408.0,385444.0
408.0,385445.0
408.0,385448.0
