test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
0.0,622.85,795.9,9.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,64.0,17.0,2.0,0.0,685.0,257.0,653.0,8.0
1.0,84.75,276.20000000000005,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,65.0,12.0,2.0,0.0,581.0,294.0,159.0,13.0
2.0,658.2,924.6,5.0,2.0,1.0,0.0,7.0,2.0,2.0,1.0,62.0,9.0,3.0,0.0,623.0,256.0,165.0,10.0
3.0,292.65000000000003,209.79999999999998,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,54.0,8.0,3.0,0.0,468.0,200.0,169.0,8.0
4.0,187.84999999999997,419.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,52.0,1.0,5.0,0.0,334.0,143.0,160.0,6.0
5.0,1014.9499999999999,265.34999999999997,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,52.0,2.0,1.0,0.0,361.0,146.0,160.0,16.0
6.0,422.25,277.1,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,62.0,5.0,3.0,0.0,337.0,137.0,152.0,15.0
7.0,148.15,489.4,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,41.0,3.0,2.0,0.0,306.0,141.0,147.0,9.0
8.0,949.0,167.04999999999998,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,49.0,5.0,0.0,0.0,304.0,143.0,150.0,9.0
9.0,304.25,228.39999999999998,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,46.0,5.0,5.0,0.0,328.0,130.0,166.0,10.0
10.0,336.55,85.15,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,45.0,3.0,6.0,0.0,326.0,137.0,168.0,8.0
