test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
38.0,140.0,185.3,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,3.0,4.0,0.0,349.0,177.0,186.0,14.0
39.0,308.1,137.5,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,42.0,5.0,1.0,0.0,346.0,138.0,133.0,15.0
40.0,253.1,48.95,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,47.0,3.0,1.0,0.0,317.0,125.0,162.0,11.0
41.0,218.95000000000002,226.84999999999997,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,50.0,3.0,3.0,0.0,321.0,144.0,143.0,14.0
42.0,507.45,213.10000000000002,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,52.0,3.0,5.0,0.0,341.0,147.0,173.0,10.0
43.0,147.4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,4.0,1.0,0.0,352.0,142.0,172.0,12.0
44.0,543.35,237.3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,47.0,3.0,2.0,0.0,343.0,124.0,174.0,14.0
45.0,81.15,851.8,2.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,48.0,2.0,2.0,0.0,321.0,144.0,172.0,9.0
46.0,594.3000000000001,239.39999999999998,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,56.0,3.0,3.0,0.0,317.0,142.0,172.0,6.0
47.0,281.15,568.8,3.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,52.0,5.0,2.0,0.0,325.0,153.0,160.0,12.0
48.0,226.8,471.45,2.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,52.0,1.0,0.0,0.0,318.0,150.0,143.0,11.0
49.0,194.20000000000002,786.1500000000001,6.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,65.0,3.0,3.0,0.0,357.0,138.0,163.0,14.0
50.0,234.7,743.5500000000001,6.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,57.0,5.0,2.0,0.0,327.0,123.0,166.0,11.0
51.0,49.7,798.3499999999999,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,57.0,1.0,2.0,0.0,353.0,144.0,164.0,3.0
52.0,327.1,467.40000000000003,3.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,60.0,3.0,2.0,0.0,360.0,129.0,177.0,12.0
53.0,841.85,564.4,3.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,49.0,0.0,4.0,0.0,299.0,129.0,166.0,1.0
54.0,134.9,54.5,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,4.0,5.0,0.0,357.0,154.0,163.0,15.0
55.0,342.8,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,3.0,0.0,366.0,126.0,159.0,11.0
56.0,83.2,41.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,2.0,3.0,0.0,300.0,134.0,156.0,14.0
57.0,68.75,23.6,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,4.0,6.0,0.0,308.0,140.0,160.0,18.0
58.0,120.9,216.75,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,49.0,5.0,2.0,0.0,349.0,159.0,148.0,8.0
59.0,20.25,295.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,57.0,5.0,4.0,0.0,302.0,136.0,165.0,4.0
60.0,880.25,200.3,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,42.0,2.0,2.0,0.0,366.0,153.0,170.0,17.0
61.0,1056.95,938.5500000000001,6.0,0.0,2.0,2.0,6.0,3.0,1.0,0.0,67.0,6.0,4.0,0.0,600.0,282.0,659.0,7.0
62.0,274.25,786.55,3.0,0.0,0.0,1.0,6.0,3.0,0.0,1.0,69.0,22.0,3.0,0.0,638.0,288.0,156.0,6.0
63.0,2285.4500000000003,662.05,5.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,79.0,15.0,3.0,0.0,667.0,268.0,187.0,10.0
64.0,383.1,302.84999999999997,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,68.0,6.0,1.0,0.0,510.0,193.0,173.0,12.0
65.0,203.05,208.20000000000002,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,54.0,4.0,1.0,0.0,346.0,119.0,161.0,13.0
66.0,105.95,157.25,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,50.0,2.0,1.0,0.0,330.0,127.0,149.0,8.0
67.0,105.35000000000001,123.95,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,5.0,4.0,0.0,285.0,133.0,170.0,7.0
68.0,186.0,28.9,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,0.0,3.0,0.0,342.0,154.0,185.0,13.0
69.0,2219.55,147.65,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,52.0,7.0,2.0,0.0,373.0,153.0,156.0,11.0
70.0,148.2,495.20000000000005,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,58.0,4.0,4.0,0.0,333.0,137.0,159.0,14.0
71.0,146.75,241.35,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,51.0,5.0,3.0,0.0,362.0,161.0,166.0,8.0
72.0,82.2,632.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,47.0,4.0,2.0,0.0,319.0,141.0,147.0,15.0
73.0,633.8,251.15,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,58.0,1.0,1.0,0.0,317.0,153.0,146.0,12.0
74.0,781.0500000000001,75.75,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,53.0,2.0,6.0,0.0,329.0,132.0,158.0,8.0
75.0,45.3,57.699999999999996,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,41.0,3.0,3.0,0.0,341.0,148.0,175.0,5.0
76.0,213.0,143.6,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,3.0,4.0,0.0,333.0,123.0,157.0,17.0
77.0,71.8,213.6,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,58.0,3.0,4.0,0.0,312.0,151.0,124.0,7.0
78.0,180.6,579.6,4.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,52.0,2.0,1.0,0.0,326.0,111.0,144.0,7.0
79.0,1761.1999999999998,783.35,0.0,0.0,1.0,2.0,4.0,3.0,1.0,0.0,50.0,3.0,4.0,0.0,327.0,123.0,142.0,6.0
80.0,448.1,77.1,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,48.0,4.0,5.0,0.0,294.0,126.0,145.0,8.0
